Modnames	K	AICc	Delta_AICc	ModelLik	AICcWt	LL	Cum.Wt
Mod4	9	151.456858516235	0	1	0.644088977516835	-64.5333073068978	0.644088977516835
Mod1	15	153.098006255159	1.6411477389243	0.440178976738275	0.283514427051762	-54.6918602704366	0.927603404568597
Mod3	13	155.828419874344	4.37156135810989	0.112389958909888	0.0723891337174291	-59.9952910182533	0.999992538286026
Mod5	7	174.373665309348	22.9168067931134	1.05603578119092e-05	6.80181006528451e-06	-78.8845070732786	0.999999340096091
Mod2	11	179.040570831544	27.5837123153099	1.02393638463675e-06	6.59506139022967e-07	-75.1356700311568	0.99999999960223
Mod7	7	195.170280984426	43.7134224681917	3.21922193686688e-10	2.07346536571635e-10	-89.2828149108178	0.999999999809577
Mod6	9	195.348416821926	43.8915583056914	2.94489091919433e-10	1.89677178104249e-10	-86.4790864597434	0.999999999999254
Mod8	13	206.424519436509	54.9676609202747	1.15857483097535e-12	7.46225278259652e-13	-85.2933407993357	1
